Name,time (spec),time (proof),time (old),time (new)
make_rev_list,~5 mins,~5 mins,~10 mins,NA
array_foldi,~10 mins,~5 mins,~15 mins,NA
array_exists,~10 mins,~20 mins,~30 mins,12m
array_of_rev_list,~5 mins,~1 hour,~1 hour,3m
array_find_mapi,~30 mins,~1 hour,~1.5 hours,12m
array_findi,~30 mins,~1 hour,~1.5 hours,9m
stack_filter,~1 hour,~30mins,~1.5 hours,11m
seq_to_array,~1 hours,~1 hour,~2 hours,17m
sll_partition,~1 hour,~1 hour,~2 hours,NA
stack_reverse,~1.5 hours,~30mins,~2 hours,30s
sll_of_array,1.5 hours,~30mins,~2 hours,NA
array_partition,~30min,~2 hours,~2.5 hours,5m
array_is_sorted,~1 hour,~3 hours,~4 hours,2m
tree_to_array,~4 hours,~1 hour,~5 hours,18m
